"class","theme","prompt","output"
"Class 9-10","Atomic Structure Bonding Reactions Acids/Bases Metals","What are metals? List some physical properties.","Metals are elements typically found on the left side of the periodic table. Physical properties: Usually solid (except mercury) lustrous (shiny) malleable (can be beaten into sheets) ductile (can be drawn into wires) good conductors of heat and electricity high melting/boiling points high density."
"Class 9-10","Atomic Structure Bonding Reactions Acids/Bases Metals","What are non-metals? List some physical properties.","Non-metals are elements typically found on the right side of the periodic table. Physical properties: Can be solid liquid or gas; generally dull (non-lustrous); brittle (if solid); poor conductors of heat and electricity (except graphite); low melting/boiling points; low density."
"Class 9-10","Atomic Structure Bonding Reactions Acids/Bases Metals","What is the reactivity series of metals? What does it tell us?","The reactivity series arranges metals in order of their decreasing reactivity (e.g. K > Na > Ca > Mg > Al > Zn > Fe > Pb > H > Cu > Ag > Au). It helps predict displacement reactions: a more reactive metal can displace a less reactive metal from its salt solution."
"Class 9-10","Atomic Structure Bonding Reactions Acids/Bases Metals","What is corrosion? Give an example.","Corrosion is the gradual destruction of metals due to their reaction with substances in the environment (like air water chemicals). Example: Rusting of iron."
"Class 9-10","Atomic Structure Bonding Reactions Acids/Bases Metals","How can corrosion (like rusting) be prevented?","Methods include painting oiling/greasing galvanizing (coating with zinc) electroplating (coating with less reactive metals like chromium or tin) alloying (mixing metals)."
"Class 9-10","Atomic Structure Bonding Reactions Acids/Bases Metals","What are alloys? Give an example and its use.","Alloys are homogeneous mixtures of two or more metals or a metal and a non-metal. Example: Brass (alloy of copper and zinc) used for decorative items musical instruments. Steel (alloy of iron and carbon) used in construction tools."
"Class 9-10","Atomic Structure Bonding Reactions Acids/Bases Metals","What is the periodic table? How are elements arranged in it?","The periodic table is a tabular arrangement of chemical elements ordered by their atomic number (number of protons) electron configuration and recurring chemical properties. Elements are arranged in rows called periods and columns called groups."
"Class 9-10","Atomic Structure Bonding Reactions Acids/Bases Metals","What do elements in the same group of the periodic table have in common?","Elements in the same group generally have the same number of valence electrons (electrons in the outermost shell) and thus exhibit similar chemical properties."
"Class 9-10","Atomic Structure Bonding Reactions Acids/Bases Metals","What is carbon? Why is it unique (catenation tetravalency)?","Carbon (C) is a non-metal element. It is unique due to: 1. Tetravalency: It can form four covalent bonds. 2. Catenation: It has the ability to form strong covalent bonds with other carbon atoms leading to long chains branched chains and rings forming a vast number of organic compounds."
"Class 9-10","Atomic Structure Bonding Reactions Acids/Bases Metals","What are hydrocarbons? Differentiate between saturated and unsaturated hydrocarbons.","Hydrocarbons are organic compounds containing only carbon and hydrogen. Saturated hydrocarbons (alkanes) contain only carbon-carbon single bonds (e.g. Methane CH₄ Ethane C₂H₆). Unsaturated hydrocarbons contain at least one carbon-carbon double bond (alkenes e.g. Ethene C₂H₄) or triple bond (alkynes e.g. Ethyne C₂H₂)."
"Class 9-10","Atomic Structure Bonding Reactions Acids/Bases Metals","What are functional groups in organic chemistry? Give an example.","A functional group is an atom or group of atoms within a molecule that determines the characteristic chemical properties of that molecule. Examples: -OH (alcohol) -COOH (carboxylic acid) -CHO (aldehyde) >C=O (ketone) -NH₂ (amine)."
"Class 9-10","Atomic Structure Bonding Reactions Acids/Bases Metals","What is ethanol? Give its formula and one use.","Ethanol (ethyl alcohol) is an alcohol with the formula C₂H₅OH. It is used as a solvent a fuel (in gasohol) and is the alcohol found in alcoholic beverages."
"Class 9-10","Atomic Structure Bonding Reactions Acids/Bases Metals","What is ethanoic acid? Give its formula and common name.","Ethanoic acid has the formula CH₃COOH. Its common name is acetic acid which is the main component of vinegar (usually 3-5% solution)."
"Class 9-10","Atomic Structure Bonding Reactions Acids/Bases Metals","What are soaps and detergents? How do they clean?","Soaps are sodium or potassium salts of long-chain fatty acids. Detergents are synthetic cleansing agents often sulfonates. They clean because their molecules have a hydrophilic (water-attracting) head and a hydrophobic (oil-attracting) tail. The tail dissolves in grease/dirt while the head stays in water forming micelles that lift the dirt away."
"Class 9-10","Atomic Structure Bonding Reactions Acids/Bases Metals","What is hard water? Why doesn't soap lather well in it?","Hard water contains dissolved salts of calcium and magnesium ions. Soap reacts with these ions to form an insoluble precipitate (scum) preventing it from forming lather easily. Detergents work effectively even in hard water."
"Class 9-10","Atomic Structure Bonding Reactions Acids/Bases Metals","What is homologous series in organic chemistry?","A homologous series is a series of organic compounds having the same functional group and similar chemical properties in which successive members differ by a -CH₂ group. Example: Alkanes (Methane CH₄ Ethane C₂H₆ Propane C₃H₈...)."
"Class 9-10","Atomic Structure Bonding Reactions Acids/Bases Metals","What is isomerism? Give an example.","Isomers are compounds that have the same molecular formula but different structural formulas (arrangements of atoms) and hence different properties. Example: Butane (C₄H₁₀) exists as n-butane (straight chain) and isobutane (branched chain)."
"Class 11-12","Advanced Concepts Physical Organic Inorganic","Explain the concept of quantum numbers (n l m_l m_s).","Quantum numbers describe the properties of atomic orbitals and electrons: Principal (n): Energy level/shell size (n=1 2 3...). Azimuthal/Angular Momentum (l): Subshell shape (l=0(s) 1(p) 2(d) 3(f)... n-1). Magnetic (m_l): Orbital orientation in space (m_l = -l ... 0 ... +l). Spin (m_s): Electron spin direction (+1/2 or -1/2)."
"Class 11-12","Advanced Concepts Physical Organic Inorganic","State Hund's Rule of Maximum Multiplicity.","Electron pairing in orbitals of the same subshell (p d f) does not occur until each orbital is singly occupied with electrons having parallel spins."
"Class 11-12","Advanced Concepts Physical Organic Inorganic","State Pauli Exclusion Principle.","No two electrons in an atom can have the same set of all four quantum numbers. (Meaning an orbital can hold a maximum of two electrons and they must have opposite spins)."
"Class 11-12","Advanced Concepts Physical Organic Inorganic","Explain the Aufbau Principle.","Electrons fill atomic orbitals starting from the lowest available energy levels before filling higher levels (e.g. 1s is filled before 2s 2s before 2p etc. following the n+l rule)."
"Class 11-12","Advanced Concepts Physical Organic Inorganic","Explain VSEPR (Valence Shell Electron Pair Repulsion) theory. What does it predict?","VSEPR theory predicts the geometry of molecules based on minimizing the electrostatic repulsion between electron pairs (both bonding and lone pairs) in the valence shell of the central atom."
"Class 11-12","Advanced Concepts Physical Organic Inorganic","What is hybridization? Explain sp³ sp² and sp hybridization with examples.","Hybridization is the concept of mixing atomic orbitals to form new hybrid orbitals suitable for bonding. sp³: Mixing one s and three p orbitals → four sp³ orbitals (tetrahedral geometry e.g. CH₄). sp²: Mixing one s and two p orbitals → three sp² orbitals (trigonal planar geometry e.g. C in C₂H₄). sp: Mixing one s and one p orbital → two sp orbitals (linear geometry e.g. C in C₂H₂)."
"Class 11-12","Advanced Concepts Physical Organic Inorganic","Differentiate between sigma (σ) and pi (π) bonds.","Sigma (σ) bonds are formed by head-on overlap of atomic orbitals along the internuclear axis (stronger). Pi (π) bonds are formed by sideways overlap of p orbitals above and below the internuclear axis (weaker). Single bonds are σ bonds; double bonds consist of one σ and one π bond; triple bonds consist of one σ and two π bonds."
"Class 11-12","Advanced Concepts Physical Organic Inorganic","State Boyle's Law Charles's Law and Avogadro's Law for gases.","Boyle's Law: At constant temperature the volume (V) of a fixed mass of gas is inversely proportional to its pressure (P). (P₁V₁ = P₂V₂). Charles's Law: At constant pressure the volume (V) of a fixed mass of gas is directly proportional to its absolute temperature (T). (V₁/T₁ = V₂/T₂). Avogadro's Law: At constant temperature and pressure equal volumes of all gases contain equal numbers of molecules (V ∝ n where n is moles)."
"Class 11-12","Advanced Concepts Physical Organic Inorganic","Write the Ideal Gas Equation.","PV = nRT where P=pressure V=volume n=moles R=ideal gas constant T=absolute temperature."
"Class 11-12","Advanced Concepts Physical Organic Inorganic","Define enthalpy (H) and entropy (S).","Enthalpy (H) is a thermodynamic property representing the total heat content of a system (H = U + PV where U is internal energy). Change in enthalpy (ΔH) at constant pressure equals heat absorbed or released. Entropy (S) is a measure of the randomness or disorder of a system. Spontaneous processes tend to increase the total entropy of the universe."
"Class 11-12","Advanced Concepts Physical Organic Inorganic","Define Gibbs Free Energy (G). How does it predict spontaneity?","Gibbs Free Energy (G) combines enthalpy and entropy: G = H - TS. The change in Gibbs Free Energy (ΔG) determines the spontaneity of a process at constant temperature and pressure: If ΔG < 0 the process is spontaneous. If ΔG > 0 it's non-spontaneous. If ΔG = 0 the system is at equilibrium. Formula: ΔG = ΔH - TΔS."
"Class 11-12","Advanced Concepts Physical Organic Inorganic","What is chemical equilibrium? State Le Chatelier's Principle.","Chemical equilibrium is the state in a reversible reaction where the rate of the forward reaction equals the rate of the reverse reaction and the concentrations of reactants and products remain constant. Le Chatelier's Principle states that if a change of condition (like temperature pressure or concentration) is applied to a system in equilibrium the system will shift in a direction that relieves the stress."
"Class 11-12","Advanced Concepts Physical Organic Inorganic","Define pH pOH and Kw (ionic product of water). How are they related?","pH = -log₁₀[H⁺] (measure of acidity). pOH = -log₁₀[OH⁻] (measure of basicity). Kw is the ionic product of water Kw = [H⁺][OH⁻] = 1.0 × 10⁻¹⁴ at 25°C. Relation: pH + pOH = 14 (at 25°C)."
"Class 11-12","Advanced Concepts Physical Organic Inorganic","What are buffer solutions? How do they work?","Buffer solutions resist changes in pH upon addition of small amounts of acid or base. They typically consist of a weak acid and its conjugate base (e.g. CH₃COOH/CH₃COO⁻) or a weak base and its conjugate acid (e.g. NH₃/NH₄⁺). They work by neutralizing added H⁺ or OH⁻ ions."
"Class 11-12","Advanced Concepts Physical Organic Inorganic","Define molarity (M) molality (m) and mole fraction (χ).","Molarity (M) = Moles of solute / Volume of solution (in Liters). Molality (m) = Moles of solute / Mass of solvent (in kg). Mole Fraction (χ) of a component = Moles of component / Total moles of all components in the solution."
"Class 11-12","Advanced Concepts Physical Organic Inorganic","State Raoult's Law for solutions.","Raoult's Law states that for a solution of volatile liquids the partial vapour pressure of each component in the solution is directly proportional to its mole fraction in the solution. P_A = χ_A * P°_A where P_A is partial pressure of A χ_A is mole fraction of A and P°_A is vapour pressure of pure A. For non-volatile solutes the relative lowering of vapour pressure is equal to the mole fraction of the solute."
"Class 11-12","Advanced Concepts Physical Organic Inorganic","What are colligative properties? List them.","Colligative properties are properties of solutions that depend only on the number of solute particles present not on their identity. They are: Relative lowering of vapour pressure Elevation in boiling point (ΔT_b) Depression in freezing point (ΔT_f) and Osmotic pressure (π)."
"Class 11-12","Advanced Concepts Physical Organic Inorganic","Explain osmosis and osmotic pressure.","Osmosis is the spontaneous movement of solvent molecules through a semi-permeable membrane from a region of lower solute concentration (higher solvent concentration) to a region of higher solute concentration (lower solvent concentration). Osmotic pressure (π) is the external pressure required to stop osmosis. Formula: π = iCRT (where i=van't Hoff factor C=molar concentration R=gas constant T=absolute temperature)."
"Class 11-12","Advanced Concepts Physical Organic Inorganic","What is electrochemistry? Define anode and cathode in an electrochemical cell.","Electrochemistry deals with the relationship between chemical energy and electrical energy. In an electrochemical cell (voltaic/galvanic cell): Anode is the electrode where oxidation occurs (electrons are released). Cathode is the electrode where reduction occurs (electrons are consumed). (Remember: AN OX RED CAT)."
"Class 11-12","Advanced Concepts Physical Organic Inorganic","What is the Nernst equation used for?","The Nernst equation relates the reduction potential of an electrochemical reaction (half-cell or full cell reaction) to the standard electrode potential temperature and concentrations (or activities) of the chemical species involved. E_cell = E°_cell - (RT/nF)lnQ."
"Class 11-12","Advanced Concepts Physical Organic Inorganic","What is electrolysis? State Faraday's Laws of Electrolysis.","Electrolysis is the process of using electrical energy to drive a non-spontaneous chemical reaction. Faraday's First Law: The mass of substance deposited or liberated at any electrode during electrolysis is directly proportional to the quantity of electricity passed (m ∝ Q = It). Faraday's Second Law: When the same quantity of electricity is passed through different electrolytes the masses of the substances liberated at the electrodes are directly proportional to their chemical equivalent weights (m ∝ E)."
"Class 11-12","Advanced Concepts Physical Organic Inorganic","Define rate of reaction. What factors affect it?","Rate of reaction is the change in concentration of a reactant or product per unit time. Factors affecting it include: concentration of reactants temperature presence of a catalyst surface area of reactants (for solids) and nature of reactants."
"Class 11-12","Advanced Concepts Physical Organic Inorganic","What is rate law? Define order of reaction and molecularity.","Rate law is an expression that relates the rate of a reaction to the concentration of reactants raised to some powers (e.g. Rate = k[A]ˣ[B]ʸ). Order of reaction is the sum of the powers (x + y) in the rate law expression; it is determined experimentally. Molecularity is the number of reacting species (atoms ions or molecules) that collide simultaneously to bring about a chemical reaction in a single elementary step; it is a theoretical concept."
"Class 11-12","Advanced Concepts Physical Organic Inorganic","What is activation energy (Ea)? How does a catalyst affect it?","Activation energy is the minimum amount of extra energy required by reactant molecules to overcome the energy barrier and form products. A catalyst increases the rate of reaction by providing an alternative reaction pathway with a lower activation energy without being consumed in the overall reaction."
"Class 11-12","Advanced Concepts Physical Organic Inorganic","What is adsorption? Differentiate between physisorption and chemisorption.","Adsorption is the accumulation of molecular species (adsorbate) on the surface of a solid or liquid (adsorbent). Physisorption (physical adsorption) involves weak van der Waals forces is reversible has low enthalpy of adsorption and forms multi-molecular layers. Chemisorption (chemical adsorption) involves chemical bond formation is often irreversible has high enthalpy of adsorption and forms unimolecular layers."
"Class 11-12","Advanced Concepts Physical Organic Inorganic","What are colloids? Give examples of different types.","Colloids are heterogeneous mixtures where one substance of dispersed particles (dispersed phase size 1-1000 nm) is distributed throughout another substance (dispersion medium). Examples: Sol (solid in liquid e.g. paint) Gel (liquid in solid e.g. cheese jelly) Emulsion (liquid in liquid e.g. milk) Foam (gas in liquid e.g. whipped cream) Aerosol (solid/liquid in gas e.g. smoke/fog)."
"Class 11-12","Advanced Concepts Physical Organic Inorganic","Explain the Tyndall effect shown by colloids.","The Tyndall effect is the scattering of light by colloidal particles when a beam of light passes through a colloidal solution. This makes the path of the light beam visible. True solutions do not show the Tyndall effect because the solute particles are too small to scatter light."
"Class 11-12","Advanced Concepts Physical Organic Inorganic","What are the main steps involved in the extraction of metals (metallurgy)?","Main steps are: 1. Concentration of the ore (removing unwanted impurities/gangue). 2. Isolation of the metal from the concentrated ore (usually by reduction e.g. smelting). 3. Refining or purification of the crude metal."
"Class 11-12","Advanced Concepts Physical Organic Inorganic","Describe general trends in properties (like atomic size ionization enthalpy electronegativity) across a period and down a group in the periodic table.","Across a period (left to right): Atomic size generally decreases ionization enthalpy generally increases electronegativity generally increases. Down a group (top to bottom): Atomic size generally increases ionization enthalpy generally decreases electronegativity generally decreases."
"Class 11-12","Advanced Concepts Physical Organic Inorganic","What are transition metals (d-block elements)? List some characteristic properties.","Transition metals are elements in groups 3-12 (d-block). Characteristics: Form coloured ions/compounds exhibit variable oxidation states act as good catalysts form complex ions are generally hard metals with high melting/boiling points often paramagnetic."
"Class 11-12","Advanced Concepts Physical Organic Inorganic","What is lanthanoid contraction? What are its consequences?","Lanthanoid contraction is the steady decrease in atomic and ionic radii of lanthanoid elements (atomic numbers 57-71) with increasing atomic number. This is due to the poor shielding effect of 4f electrons. Consequences include: similarity in radii (and properties) of second and third transition series elements (e.g. Zr/Hf) difficulty in separating lanthanoids."
"Class 11-12","Advanced Concepts Physical Organic Inorganic","What are coordination compounds? Define ligand and coordination number.","Coordination compounds contain a central metal atom or ion bonded to a number of surrounding molecules or ions called ligands via coordinate covalent bonds. A ligand is an ion or molecule capable of donating a pair of electrons to the central metal atom. Coordination number is the number of ligand donor atoms directly attached to the central metal atom/ion."
"Class 11-12","Advanced Concepts Physical Organic Inorganic","Explain Werner's theory of coordination compounds.","Werner proposed that metals in coordination compounds exhibit two types of valencies: Primary valency (ionizable corresponds to oxidation state satisfied by anions) and Secondary valency (non-ionizable corresponds to coordination number satisfied by ligands determines geometry)."
"Class 11-12","Advanced Concepts Physical Organic Inorganic","Name some important organic reactions (e.g. SN1 SN2 electrophilic substitution).","Important types include: Nucleophilic Substitution (SN1 - unimolecular SN2 - bimolecular) Elimination reactions (E1 E2) Electrophilic Addition (to alkenes/alkynes) Nucleophilic Addition (to carbonyls) Electrophilic Aromatic Substitution (in benzene rings) Oxidation/Reduction reactions Esterification Saponification."
"Class 11-12","Advanced Concepts Physical Organic Inorganic","What are biomolecules? Give four major classes.","Biomolecules are complex organic molecules essential for life processes. Four major classes are: Carbohydrates (sugars starch - energy source structure) Proteins (polymers of amino acids - enzymes structure transport) Lipids (fats oils - energy storage membranes) and Nucleic Acids (DNA RNA - genetic information)."
"Class 11-12","Advanced Concepts Physical Organic Inorganic","What is the difference between DNA and RNA?","DNA (Deoxyribonucleic acid) contains deoxyribose sugar has bases Adenine (A) Guanine (G) Cytosine (C) Thymine (T) is usually double-stranded (helix) and stores genetic information. RNA (Ribonucleic acid) contains ribose sugar has bases A G C Uracil (U) instead of T is usually single-stranded and is involved in protein synthesis."
"Class 11-12","Advanced Concepts Physical Organic Inorganic","What are polymers? Differentiate between thermoplastic and thermosetting polymers.","Polymers are large molecules (macromolecules) made up of repeating structural units called monomers. Thermoplastics soften on heating and harden on cooling and can be remoulded (e.g. Polythene PVC). Thermosetting polymers become hard and infusible on heating and cannot be remoulded (e.g. Bakelite Melamine)."
"Class 11-12","Advanced Concepts Physical Organic Inorganic","Give examples of natural and synthetic polymers.","Natural polymers: Proteins (e.g. silk wool) Cellulose (e.g. cotton wood) Starch Natural rubber. Synthetic polymers: Polythene Polyvinyl chloride (PVC) Nylon Polyester (Terylene) Bakelite Synthetic rubber (Buna-S)."
"Class 11-12","Advanced Concepts Physical Organic Inorganic","What are carbohydrates? Classify them with examples.","Carbohydrates are polyhydroxy aldehydes or ketones or substances that yield these on hydrolysis. Classification: Monosaccharides (simple sugars cannot be hydrolysed further e.g. Glucose Fructose) Oligosaccharides (yield 2-10 monosaccharide units on hydrolysis e.g. Sucrose Lactose) Polysaccharides (yield many monosaccharide units e.g. Starch Cellulose)."
"Class 11-12","Advanced Concepts Physical Organic Inorganic","Name some common drugs and classify them (e.g. antacids analgesics).","Common drug classes include: Antacids (neutralize stomach acid e.g. Magnesium hydroxide) Analgesics (reduce pain e.g. Aspirin Paracetamol) Antipyretics (reduce fever e.g. Paracetamol) Antibiotics (kill or inhibit bacteria e.g. Penicillin) Antiseptics (applied to living tissues to kill microbes e.g. Dettol) Disinfectants (applied to inanimate objects to kill microbes e.g. Phenol solutions) Tranquilizers (reduce stress/anxiety)."
