"class","theme","prompt","output"
"Class 9-10","Cell Biology Tissues Diversity Health Life Processes Genetics Intro","What is the main difference between plant and animal cells?","Key differences: Plant cells have a cell wall chloroplasts and usually a large central vacuole which are absent in animal cells. Animal cells may have centrioles (involved in cell division) which are usually absent in higher plant cells."
"Class 9-10","Cell Biology Tissues Diversity Health Life Processes Genetics Intro","What is the function of the nucleus in a cell?","The nucleus controls all the activities of the cell and contains the genetic material (DNA) in the form of chromosomes."
"Class 9-10","Cell Biology Tissues Diversity Health Life Processes Genetics Intro","What is the function of mitochondria? Why are they called the 'powerhouse' of the cell?","Mitochondria are the sites of cellular respiration where glucose is broken down to release energy in the form of ATP (adenosine triphosphate). They are called powerhouses because they generate most of the cell's energy supply."
"Class 9-10","Cell Biology Tissues Diversity Health Life Processes Genetics Intro","What is the function of chloroplasts in plant cells?","Chloroplasts contain chlorophyll (green pigment) and are the sites of photosynthesis where light energy is converted into chemical energy (food)."
"Class 9-10","Cell Biology Tissues Diversity Health Life Processes Genetics Intro","What are tissues? Give examples of plant and animal tissues.","Tissues are groups of similar cells specialized to perform a particular function. Plant tissues: Meristematic (dividing cells) Parenchyma (storage photosynthesis) Xylem (water transport) Phloem (food transport). Animal tissues: Epithelial (covering) Connective (support e.g. blood bone) Muscular (movement) Nervous (conduction of impulses)."
"Class 9-10","Cell Biology Tissues Diversity Health Life Processes Genetics Intro","What is the function of xylem and phloem in plants?","Xylem transports water and dissolved minerals upward from the roots to the rest of the plant. Phloem transports sugars (food produced during photosynthesis) from the leaves to other parts of the plant where needed."
"Class 9-10","Cell Biology Tissues Diversity Health Life Processes Genetics Intro","What is blood? What are its components?","Blood is a fluid connective tissue. Its components are: Plasma (liquid matrix) Red Blood Cells (RBCs - carry oxygen) White Blood Cells (WBCs - fight infection) and Platelets (help in clotting)."
"Class 9-10","Cell Biology Tissues Diversity Health Life Processes Genetics Intro","What is the function of the heart in the human body?","The heart is a muscular organ that pumps blood throughout the body supplying oxygen and nutrients to tissues and removing carbon dioxide and waste products."
"Class 9-10","Cell Biology Tissues Diversity Health Life Processes Genetics Intro","Differentiate between arteries and veins.","Arteries carry oxygenated blood (usually) away from the heart have thick muscular walls and blood flows under high pressure. Veins carry deoxygenated blood (usually) towards the heart have thinner walls with valves and blood flows under lower pressure. (Pulmonary artery/vein are exceptions regarding oxygenation)."
"Class 9-10","Cell Biology Tissues Diversity Health Life Processes Genetics Intro","What is the basic classification hierarchy of living organisms? (Kingdom to Species)","Kingdom Phylum (or Division for plants) Class Order Family Genus Species. (Mnemonic: King Philip Came Over For Good Soup)."
"Class 9-10","Cell Biology Tissues Diversity Health Life Processes Genetics Intro","Name the five kingdoms proposed by Whittaker.","Monera (prokaryotes like bacteria) Protista (unicellular eukaryotes like Amoeba) Fungi (moulds yeasts mushrooms) Plantae (plants) Animalia (animals)."
"Class 9-10","Cell Biology Tissues Diversity Health Life Processes Genetics Intro","What are infectious diseases? Give examples. How do they spread?","Infectious diseases are caused by pathogens (disease-causing microorganisms like bacteria viruses fungi protozoa) and can spread from one person to another. Examples: Common cold Tuberculosis Malaria COVID-19. Spread through: Air water food direct contact vectors (like mosquitoes)."
"Class 9-10","Cell Biology Tissues Diversity Health Life Processes Genetics Intro","What are non-infectious diseases? Give examples.","Non-infectious diseases are not caused by pathogens and cannot spread from person to person. They often result from genetic factors lifestyle choices or environmental factors. Examples: Diabetes Heart disease Cancer Arthritis."
"Class 9-10","Cell Biology Tissues Diversity Health Life Processes Genetics Intro","What is immunity? What are vaccines?","Immunity is the body's ability to resist infection and disease. Vaccines contain weakened or inactive pathogens (or their components) that stimulate the immune system to develop immunity against a specific disease without causing the illness itself."
"Class 9-10","Cell Biology Tissues Diversity Health Life Processes Genetics Intro","Describe the process of nutrition in Amoeba.","Amoeba uses pseudopodia (false feet) to engulf food particles (phagocytosis) forming a food vacuole. Enzymes digest the food inside the vacuole. Absorbed nutrients diffuse into the cytoplasm. Undigested waste is expelled by exocytosis."
"Class 9-10","Cell Biology Tissues Diversity Health Life Processes Genetics Intro","Explain aerobic and anaerobic respiration.","Aerobic respiration occurs in the presence of oxygen completely breaks down glucose releases a large amount of energy (ATP) and occurs in mitochondria. Anaerobic respiration occurs in the absence of oxygen incompletely breaks down glucose releases much less energy and occurs in the cytoplasm (e.g. fermentation producing lactic acid or ethanol)."
"Class 9-10","Cell Biology Tissues Diversity Health Life Processes Genetics Intro","What are the main organs of the human respiratory system?","Nose/Nasal cavity Pharynx Larynx (voice box) Trachea (windpipe) Bronchi Bronchioles Lungs (containing alveoli)."
"Class 9-10","Cell Biology Tissues Diversity Health Life Processes Genetics Intro","What are alveoli? What happens there?","Alveoli are tiny air sacs in the lungs with thin walls and a rich blood supply. Gas exchange occurs here: oxygen from inhaled air diffuses into the blood and carbon dioxide from the blood diffuses into the air to be exhaled."
"Class 9-10","Cell Biology Tissues Diversity Health Life Processes Genetics Intro","What are the main organs of the human excretory system? What is the function of kidneys?","Main organs: A pair of kidneys a pair of ureters urinary bladder urethra. Kidneys filter waste products (like urea) from the blood to produce urine and regulate water and salt balance."
"Class 9-10","Cell Biology Tissues Diversity Health Life Processes Genetics Intro","What are hormones? Name some endocrine glands in humans.","Hormones are chemical messengers produced by endocrine glands that travel through the bloodstream to target cells/organs regulating various bodily functions. Endocrine glands: Pituitary Thyroid Adrenal Pancreas Ovaries (female) Testes (male)."
"Class 9-10","Cell Biology Tissues Diversity Health Life Processes Genetics Intro","What is the function of the nervous system? What are neurons?","The nervous system controls and coordinates body activities responds to stimuli and enables thought and learning. Neurons (nerve cells) are the basic functional units that transmit electrical and chemical signals (nerve impulses)."
"Class 9-10","Cell Biology Tissues Diversity Health Life Processes Genetics Intro","What are reflexes or reflex actions? Give an example.","Reflex actions are rapid involuntary responses to stimuli processed mainly in the spinal cord without conscious thought. Example: Quickly withdrawing your hand when you touch a hot object."
"Class 9-10","Cell Biology Tissues Diversity Health Life Processes Genetics Intro","Differentiate between asexual and sexual reproduction.","Asexual reproduction involves a single parent produces offspring genetically identical to the parent (clones) and occurs through methods like budding fission fragmentation. Sexual reproduction involves two parents (male and female) fusion of gametes (sperm and egg) to form a zygote and produces genetically diverse offspring."
"Class 9-10","Cell Biology Tissues Diversity Health Life Processes Genetics Intro","Name the parts of a typical flower involved in reproduction.","Male part (Stamen) consists of Anther (produces pollen) and Filament. Female part (Pistil/Carpel) consists of Stigma (receives pollen) Style and Ovary (contains ovules). Petals attract pollinators Sepals protect the bud."
"Class 9-10","Cell Biology Tissues Diversity Health Life Processes Genetics Intro","What is fertilization in plants? What develops from the ovary and ovules after fertilization?","Fertilization is the fusion of the male gamete (from pollen) with the female gamete (egg cell inside the ovule). After fertilization the ovary develops into the fruit and the ovules develop into seeds."
"Class 9-10","Cell Biology Tissues Diversity Health Life Processes Genetics Intro","Name the main organs of the male reproductive system in humans.","Testes (produce sperm and testosterone) scrotum epididymis vas deferens seminal vesicles prostate gland urethra penis."
"Class 9-10","Cell Biology Tissues Diversity Health Life Processes Genetics Intro","Name the main organs of the female reproductive system in humans.","Ovaries (produce eggs and estrogen/progesterone) fallopian tubes (oviducts) uterus (womb) cervix vagina."
"Class 9-10","Cell Biology Tissues Diversity Health Life Processes Genetics Intro","What is fertilization in humans? Where does it usually occur?","Fertilization is the fusion of a male gamete (sperm) with a female gamete (egg/ovum) to form a zygote. It usually occurs in the fallopian tube (oviduct)."
"Class 9-10","Cell Biology Tissues Diversity Health Life Processes Genetics Intro","What is heredity? What are genes?","Heredity is the passing of traits (characteristics) from parents to offspring. Genes are segments of DNA located on chromosomes that carry the instructions for specific traits."
"Class 9-10","Cell Biology Tissues Diversity Health Life Processes Genetics Intro","Who is Gregor Mendel? Why is he called the 'Father of Genetics'?","Gregor Mendel was an Austrian monk who conducted experiments with pea plants in the 19th century. He discovered the fundamental principles of heredity (like dominance segregation independent assortment) and is called the 'Father of Genetics'."
"Class 9-10","Cell Biology Tissues Diversity Health Life Processes Genetics Intro","Explain Mendel's Law of Dominance.","When parents with pure contrasting traits are crossed only one form of the trait (the dominant trait) appears in the next generation (F1). The other form (recessive trait) is masked."
"Class 9-10","Cell Biology Tissues Diversity Health Life Processes Genetics Intro","Explain Mendel's Law of Segregation.","During gamete formation the two alleles (alternative forms of a gene) for a trait separate (segregate) from each other so that each gamete carries only one allele for that trait."
"Class 9-10","Cell Biology Tissues Diversity Health Life Processes Genetics Intro","What is the difference between genotype and phenotype?","Genotype is the genetic makeup of an organism (the combination of alleles e.g. TT Tt tt). Phenotype is the observable physical characteristic or trait expressed by the organism (e.g. tall short)."
"Class 9-10","Cell Biology Tissues Diversity Health Life Processes Genetics Intro","What is DNA? What is its structure?","DNA (Deoxyribonucleic acid) is the molecule that carries the genetic instructions for the development functioning growth and reproduction of all known organisms. It has a double helix structure consisting of two strands wound around each other made of nucleotides (sugar phosphate and one of four bases: A T C G)."
"Class 9-10","Cell Biology Tissues Diversity Health Life Processes Genetics Intro","What are chromosomes? How many chromosomes do humans have?","Chromosomes are thread-like structures located inside the nucleus (in eukaryotes) made of protein and a single molecule of DNA. They carry the genes. Humans typically have 46 chromosomes (23 pairs) in each body cell."
"Class 9-10","Cell Biology Tissues Diversity Health Life Processes Genetics Intro","What is our environment? What are its main components?","The environment includes everything around us both living (biotic) and non-living (abiotic) components. Biotic components: plants animals microorganisms. Abiotic components: air water soil sunlight temperature."
"Class 9-10","Cell Biology Tissues Diversity Health Life Processes Genetics Intro","What is an ecosystem? Give examples.","An ecosystem is a community of living organisms (biotic components) interacting with each other and their physical environment (abiotic components). Examples: Pond ecosystem Forest ecosystem Desert ecosystem."
"Class 9-10","Cell Biology Tissues Diversity Health Life Processes Genetics Intro","What is a food chain? Give a simple example.","A food chain shows how energy is transferred from one living organism to another through feeding. It starts with a producer (usually a plant). Example: Grass (Producer) → Grasshopper (Primary Consumer) → Frog (Secondary Consumer) → Snake (Tertiary Consumer)."
"Class 11-12","Detailed Physiology Genetics Evolution Ecology Biotechnology","Describe the fluid mosaic model of the plasma membrane.","Proposed by Singer and Nicolson this model describes the plasma membrane as a fluid structure where proteins are embedded or attached to a double layer (bilayer) of phospholipids. Lipids and some proteins can move laterally hence 'fluid mosaic'."
"Class 11-12","Detailed Physiology Genetics Evolution Ecology Biotechnology","Differentiate between prokaryotic and eukaryotic cells.","Prokaryotic cells (bacteria archaea) lack a true nucleus and membrane-bound organelles; their DNA is in a nucleoid region; smaller ribosomes (70S); usually have a cell wall (non-cellulose). Eukaryotic cells (protists fungi plants animals) have a true nucleus membrane-bound organelles (mitochondria ER Golgi etc.); larger ribosomes (80S); plant/fungi cells have cell walls (cellulose/chitin)."
"Class 11-12","Detailed Physiology Genetics Evolution Ecology Biotechnology","Explain the process of mitosis (cell division). What is its significance?","Mitosis is a type of cell division resulting in two daughter cells each having the same number and kind of chromosomes as the parent nucleus (diploid -> diploid). Stages: Prophase Metaphase Anaphase Telophase. Significance: Growth repair of tissues asexual reproduction."
"Class 11-12","Detailed Physiology Genetics Evolution Ecology Biotechnology","Explain the process of meiosis (cell division). What is its significance?","Meiosis is a type of cell division that reduces the number of chromosomes by half (diploid -> haploid) creating four haploid cells (gametes or spores). It involves two successive divisions (Meiosis I and Meiosis II). Significance: Production of gametes for sexual reproduction introduces genetic variation through crossing over."
"Class 11-12","Detailed Physiology Genetics Evolution Ecology Biotechnology","What are enzymes? How do they work?","Enzymes are biological catalysts (usually proteins) that speed up biochemical reactions without being consumed. They work by lowering the activation energy of the reaction. Each enzyme has an active site specific to its substrate(s)."
"Class 11-12","Detailed Physiology Genetics Evolution Ecology Biotechnology","Describe the mechanism of muscle contraction (Sliding Filament Theory).","Muscle contraction occurs when thin filaments (actin) slide past thick filaments (myosin) within the sarcomeres of muscle fibers. This sliding is powered by ATP hydrolysis and involves the formation and breaking of cross-bridges between myosin heads and actin filaments. Calcium ions play a key role in initiating the process."
"Class 11-12","Detailed Physiology Genetics Evolution Ecology Biotechnology","Explain the process of urine formation in the nephron.","Urine formation involves three main steps in the nephron (functional unit of the kidney): 1. Glomerular Filtration: Blood is filtered under pressure in the glomerulus forcing water and small solutes into Bowman's capsule. 2. Tubular Reabsorption: Essential substances (glucose amino acids water salts) are reabsorbed from the filtrate back into the blood in the renal tubules. 3. Tubular Secretion: Certain waste products and excess ions are actively transported from the blood into the filtrate in the tubules. The remaining fluid is urine."
"Class 11-12","Detailed Physiology Genetics Evolution Ecology Biotechnology","Describe the structure and function of a neuron.","A neuron consists of a cell body (soma) containing the nucleus dendrites (receive signals) and an axon (transmits signals away from the cell body often covered by a myelin sheath). Function: Transmit nerve impulses (electrical and chemical signals) for communication within the nervous system."
"Class 11-12","Detailed Physiology Genetics Evolution Ecology Biotechnology","Explain the transmission of a nerve impulse across a synapse.","When a nerve impulse reaches the axon terminal (presynaptic neuron) it triggers the release of neurotransmitters (chemical messengers) into the synaptic cleft (gap). These neurotransmitters bind to receptors on the postsynaptic neuron causing an electrical signal (impulse) to be generated in it."
"Class 11-12","Detailed Physiology Genetics Evolution Ecology Biotechnology","What are plant hormones (phytohormones)? Name five major types and their functions.","Plant hormones regulate plant growth and development. Major types: Auxins: Promote stem elongation root formation apical dominance. Gibberellins: Promote stem elongation seed germination flowering. Cytokinins: Promote cell division delay leaf senescence. Abscisic Acid (ABA): Promotes dormancy stomatal closure (stress hormone). Ethylene: Promotes fruit ripening senescence."
"Class 11-12","Detailed Physiology Genetics Evolution Ecology Biotechnology","Explain double fertilization in angiosperms (flowering plants).","Double fertilization is unique to angiosperms. One male gamete fuses with the egg cell to form the diploid zygote (develops into embryo). The second male gamete fuses with the central cell (containing two polar nuclei) to form the triploid primary endosperm nucleus (PEN) which develops into the endosperm (nutritive tissue)."
"Class 11-12","Detailed Physiology Genetics Evolution Ecology Biotechnology","Describe the menstrual cycle in human females.","A recurring cycle (approx. 28 days) involving changes in the ovaries and uterus regulated by hormones (FSH LH estrogen progesterone). Phases: Menstrual phase (shedding of uterine lining) Follicular phase (follicle development in ovary estrogen rises) Ovulatory phase (release of egg from ovary LH surge) Luteal phase (corpus luteum forms progesterone rises to prepare uterus for pregnancy). If no fertilization corpus luteum degenerates hormone levels drop menstruation begins."
"Class 11-12","Detailed Physiology Genetics Evolution Ecology Biotechnology","What is Mendel's Law of Independent Assortment?","During gamete formation the segregation of alleles for one trait is independent of the segregation of alleles for another trait (provided the genes are on different chromosomes or far apart on the same chromosome)."
"Class 11-12","Detailed Physiology Genetics Evolution Ecology Biotechnology","Explain incomplete dominance and codominance with examples.","Incomplete Dominance: The heterozygous phenotype is an intermediate blend between the two homozygous phenotypes (e.g. Red flower RR x White flower rr → Pink flower Rr in snapdragons). Codominance: Both alleles are fully expressed simultaneously in the heterozygote (e.g. AB blood group in humans where both A and B antigens are present)."
"Class 11-12","Detailed Physiology Genetics Evolution Ecology Biotechnology","What are sex-linked traits? Give an example.","Sex-linked traits are traits determined by genes located on the sex chromosomes (usually the X chromosome in humans). They show different patterns of inheritance in males and females. Example: Haemophilia Colour blindness."
"Class 11-12","Detailed Physiology Genetics Evolution Ecology Biotechnology","Describe the structure of DNA (Watson-Crick model).","DNA is a right-handed double helix. Two polynucleotide strands run antiparallel. The sugar-phosphate backbone is on the outside. Nitrogenous bases (Adenine-A Guanine-G Cytosine-C Thymine-T) are paired in the interior (A with T via 2 hydrogen bonds G with C via 3 hydrogen bonds)."
"Class 11-12","Detailed Physiology Genetics Evolution Ecology Biotechnology","Explain the process of DNA replication (semi-conservative model).","The DNA double helix unwinds and each strand serves as a template for the synthesis of a new complementary strand using DNA polymerase enzyme. Each resulting DNA molecule consists of one original (parent) strand and one newly synthesized strand (semi-conservative)."
"Class 11-12","Detailed Physiology Genetics Evolution Ecology Biotechnology","Explain the central dogma of molecular biology.","The central dogma describes the flow of genetic information: DNA → (transcription) → RNA → (translation) → Protein. DNA stores information RNA carries it and proteins perform cellular functions."
"Class 11-12","Detailed Physiology Genetics Evolution Ecology Biotechnology","Describe the process of transcription.","Transcription is the synthesis of an RNA molecule (usually messenger RNA mRNA) from a DNA template strand. It occurs in the nucleus (eukaryotes) and is catalyzed by RNA polymerase."
"Class 11-12","Detailed Physiology Genetics Evolution Ecology Biotechnology","Describe the process of translation (protein synthesis).","Translation is the synthesis of a polypeptide chain (protein) from the genetic information encoded in mRNA. It occurs on ribosomes in the cytoplasm. Transfer RNA (tRNA) molecules bring specific amino acids corresponding to codons (three-base sequences) on the mRNA."
"Class 11-12","Detailed Physiology Genetics Evolution Ecology Biotechnology","What is the genetic code? Mention its key features.","The genetic code is the set of rules by which information encoded in genetic material (DNA or RNA sequences) is translated into proteins (amino acid sequences). Features: Triplet code (codons are 3 bases) Non-overlapping Comma-less Degenerate (most amino acids coded by >1 codon) Universal (mostly same in all organisms) Has start (AUG) and stop codons."
"Class 11-12","Detailed Physiology Genetics Evolution Ecology Biotechnology","What is evolution? Outline Darwin's theory of natural selection.","Evolution is the change in heritable characteristics of biological populations over successive generations. Darwin's theory: Organisms produce more offspring than can survive (struggle for existence). There is variation among individuals. Individuals with variations best suited (fittest) to their environment survive and reproduce more successfully (natural selection). Over time favourable adaptations accumulate leading to new species."
"Class 11-12","Detailed Physiology Genetics Evolution Ecology Biotechnology","What is speciation? How can it occur?","Speciation is the evolutionary process by which new biological species arise. It often occurs due to reproductive isolation where populations become unable to interbreed. Mechanisms include geographic isolation (allopatric speciation) or reproductive barriers arising within a single population (sympatric speciation)."
"Class 11-12","Detailed Physiology Genetics Evolution Ecology Biotechnology","What is evidence for evolution? (e.g. fossils homologous structures)","Evidence includes: Fossil record (shows changes over time) Comparative anatomy (homologous structures - similar origin different function; analogous structures - different origin similar function) Comparative embryology (similarities in early development) Biogeography (distribution of species) Molecular biology (similarities in DNA/proteins)."
"Class 11-12","Detailed Physiology Genetics Evolution Ecology Biotechnology","What is ecological succession? Differentiate between primary and secondary succession.","Ecological succession is the gradual process of change in species composition and community structure over time. Primary succession occurs in a lifeless area with no soil (e.g. bare rock new volcanic island). Secondary succession occurs in an area where a previous community has been removed but soil remains (e.g. after a fire abandoned field)."
"Class 11-12","Detailed Physiology Genetics Evolution Ecology Biotechnology","Describe the different types of population interactions (e.g. mutualism predation).","Mutualism (+/+): Both benefit (e.g. lichens). Commensalism (+/0): One benefits other unaffected (e.g. orchids on a tree). Predation (+/-): Predator kills and eats prey. Parasitism (+/-): Parasite benefits host harmed. Competition (-/-): Both harmed due to shared limited resource. Amensalism (-/0): One harmed other unaffected."
"Class 11-12","Detailed Physiology Genetics Evolution Ecology Biotechnology","What are the major threats to biodiversity?","Major threats include: Habitat loss and fragmentation Over-exploitation (overhunting overfishing) Pollution Introduction of invasive alien species Climate change. (Often remembered by the acronym HIPPO)."
"Class 11-12","Detailed Physiology Genetics Evolution Ecology Biotechnology","Why is biodiversity conservation important? Mention in-situ and ex-situ conservation methods.","Biodiversity is essential for ecosystem stability provides ecological services (pollination climate regulation) economic benefits (food medicine tourism) and has ethical/aesthetic value. In-situ conservation protects species in their natural habitats (e.g. National Parks Sanctuaries Biosphere Reserves). Ex-situ conservation protects species outside their natural habitats (e.g. Botanical Gardens Zoos Seed Banks Cryopreservation)."
"Class 11-12","Detailed Physiology Genetics Evolution Ecology Biotechnology","What is pollution? Name different types.","Pollution is the introduction of harmful contaminants into the natural environment that cause adverse change. Types: Air pollution Water pollution Soil pollution Noise pollution Thermal pollution Radioactive pollution."
"Class 11-12","Detailed Physiology Genetics Evolution Ecology Biotechnology","Explain biomagnification with an example.","Biomagnification (or bioamplification) is the increasing concentration of a substance (like pesticides or heavy metals) in the tissues of organisms at successively higher levels in a food chain. Example: DDT accumulating in aquatic food chains reaching high levels in fish-eating birds causing eggshell thinning."
"Class 11-12","Detailed Physiology Genetics Evolution Ecology Biotechnology","What is eutrophication?","Eutrophication is the enrichment of a water body with nutrients (mainly nitrates and phosphates) often from sewage or agricultural runoff. This leads to excessive growth of algae (algal bloom) which depletes oxygen when they die and decompose harming aquatic life."
"Class 11-12","Detailed Physiology Genetics Evolution Ecology Biotechnology","What is biotechnology? Give some applications.","Biotechnology uses living organisms or their components to develop or create products and processes beneficial to humans. Applications: Medicine (vaccines antibiotics insulin production gene therapy) Agriculture (genetically modified crops - pest resistance improved yield) Industry (enzymes biofuels) Environment (bioremediation)."
"Class 11-12","Detailed Physiology Genetics Evolution Ecology Biotechnology","What is genetic engineering (Recombinant DNA technology)?","Genetic engineering involves techniques to alter the genetic material (DNA/RNA) of organisms. Recombinant DNA technology specifically involves combining DNA from different sources to create a new DNA molecule (recombinant DNA) which can then be introduced into host organisms."
"Class 11-12","Detailed Physiology Genetics Evolution Ecology Biotechnology","What are restriction enzymes and DNA ligase used for in rDNA technology?","Restriction enzymes act like molecular scissors cutting DNA at specific recognition nucleotide sequences. DNA ligase acts like molecular glue joining DNA fragments together (e.g. joining a gene of interest to a vector)."
"Class 11-12","Detailed Physiology Genetics Evolution Ecology Biotechnology","What is Polymerase Chain Reaction (PCR)? What is it used for?","PCR is a technique used to rapidly amplify (make many copies of) a specific segment of DNA in vitro. Uses: DNA fingerprinting diagnostics (detecting pathogens) genetic research cloning."
"Class 11-12","Detailed Physiology Genetics Evolution Ecology Biotechnology","What are genetically modified organisms (GMOs)? Give an example.","GMOs are organisms whose genetic material has been altered using genetic engineering techniques. Example: Bt cotton (contains a gene from Bacillus thuringiensis bacterium making it resistant to certain insect pests)."
"Class 11-12","Detailed Physiology Genetics Evolution Ecology Biotechnology","What is cancer? What are carcinogens?","Cancer is a disease characterized by uncontrolled cell growth and division leading to the formation of tumors that can invade surrounding tissues and metastasize (spread) to other parts of the body. Carcinogens are agents that can cause cancer (e.g. tobacco smoke UV radiation certain chemicals viruses)."
"Class 11-12","Detailed Physiology Genetics Evolution Ecology Biotechnology","What is AIDS? What causes it? How is it transmitted?","AIDS (Acquired Immunodeficiency Syndrome) is a chronic potentially life-threatening condition caused by the Human Immunodeficiency Virus (HIV). HIV damages the immune system making the body vulnerable to infections and cancers. Transmission occurs through: sexual contact sharing needles contaminated blood transfusions from infected mother to child during pregnancy/birth/breastfeeding."
"Class 11-12","Detailed Physiology Genetics Evolution Ecology Biotechnology","Differentiate between benign and malignant tumors.","Benign tumors are non-cancerous grow slowly remain localized (do not invade surrounding tissues or spread) and are usually less harmful. Malignant tumors are cancerous grow rapidly invade nearby tissues and can metastasize (spread) to distant parts of the body via blood or lymph making them dangerous."
"Class 11-12","Detailed Physiology Genetics Evolution Ecology Biotechnology","What are antibiotics? Why should they be used judiciously?","Antibiotics are drugs used to treat bacterial infections by killing bacteria or inhibiting their growth. They should be used judiciously (only when prescribed complete the full course) because overuse or misuse can lead to antibiotic resistance where bacteria evolve to become resistant to the drugs making infections harder to treat. Antibiotics are ineffective against viral infections like the common cold or flu."
